id,Name,Visitor Institution,Post Date,Host,Content,Permalink,Unix Start Date,Unix End Date,Academic Year (as defined on website backend = FY-1),Programs,International,Host Type
9205,Sean Ressler,CITA,3/11/2024,Lena Murchikova,,https://ciera.northwestern.edu/visits/sean-ressler-2/,1711411200,1711497540,2024,astrophysics-seminars,1,
9190,Rixin Li,UC Berkeley,2/28/2024,Jiaru Li,,https://ciera.northwestern.edu/visits/rixin-li/,1709683200,1710028740,2024,theory-group-meetings,0,
9052,Carl Fields,Los Alamos National Laboratory,1/8/2024,Adam Miller,,https://ciera.northwestern.edu/visits/carl-fields/,1709596800,1709683140,2024,astrophysics-seminars,0,
9199,Guangyi Zhang,Reed College,2/28/2024,Sharan Banagiri,,https://ciera.northwestern.edu/visits/guangyi-zhang/,1709078400,1709251140,2024,,0,
9050,Alex ?iprijanovi?,Fermi National Accelerator Laboratory,1/8/2024,Emma Alexander,,https://ciera.northwestern.edu/visits/alex-ciprijanovic/,1708992000,1709078340,2024,astrophysics-seminars,0,
9156,Greg Herczeg,Kavli Institute for Astronomy and Astrophysics at Peking University,2/12/2024,Meng Sun,,https://ciera.northwestern.edu/visits/greg-herczeg/,1708387200,1708473540,2024,astrophysics-seminars,1,
9154,Yannis Liodakis,Marshall Space Flight Center,2/12/2024,Charlie Kilpatrick,,https://ciera.northwestern.edu/visits/yannis-liodakis/,1708041600,1708127940,2024,observational-astronomy-meetings,0,
9159,Lluis Mas-Ribas,"University of California, Santa Cruz",2/14/2024,Guochao Jason Sun,,https://ciera.northwestern.edu/visits/lluis-mas-ribas/,1707350400,1707523140,2024,theory-group-meetings,0,
9160,Bridget Andersen,McGill University,2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/bridget-andersen/,1707350400,1707523140,2024,conferences,1,
9162,Calvin Leung,"University of California, Berkeley",2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/calvin-leung/,1707350400,1707523140,2024,conferences,0,
9164,Kenzie Nimmo,Massachusetts Institute of Technology,2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/nimmo-kenzie/,1707350400,1707523140,2024,conferences,0,
9165,Kaitlyn Shin,Massachusetts Institute of Technology,2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/kaitlyn-shin/,1707350400,1707523140,2024,conferences,0,
9168,Lluis Mas-Ribas,"University of California, Santa Cruz",2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/lluis-mas-ribas-2/,1707350400,1707523140,2024,conferences,0,
9169,Lordrick Aloyce Kahinga,"University of California, Santa Cruz",2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/lordrick-aloyce-kahinga/,1707350400,1707523140,2024,conferences,0,
9171,Sunil Simha,"University of California, Santa Cruz",2/14/2024,CHIME/FRB Gemini LLP,,https://ciera.northwestern.edu/visits/sunil-simha/,,1707523140,2024,conferences,0,
9048,Jamie Rankin,Princeton University ,1/8/2024,Lena Murchikova,,https://ciera.northwestern.edu/visits/jamie-rankin/,1707177600,1707263940,2024,astrophysics-seminars,1,
9141,Cyndia Yu,"Kavli Institute for Cosmological Physics, University of Chicago",1/30/2024,Dennis Lee,,https://ciera.northwestern.edu/visits/cyndia-yu/,1706832000,1706918340,2024,observational-astronomy-meetings,1,
9046,Jessie Dotson,NASA,1/8/2024,Giles Novak,,https://ciera.northwestern.edu/visits/jessie-dotson/,1706572800,1706659140,2024,astrophysics-seminars,0,Astro Faculty
9088,Melinda Soares-Furtado,University of Wisconsin-Madison,1/18/2024,Goni Halevi,,https://ciera.northwestern.edu/visits/melinda-soares-furtado-3/,1706140800,1706313540,2024,theory-group-meetings,0,Astro Faculty
9075,Bhagya Subrayan,Purdue University,1/16/2024,Charlie Kilpatrick,,https://ciera.northwestern.edu/visits/bhagya-subrayan/,1706227200,1706313540,2024,observational-astronomy-meetings,0,Astro Faculty
